hERG_IC50,hERG_h,hERG_Bmax
1.24,0.6044,84.08
0.4495,0.7162,78.1
1.306,0.615,86.2
1.444,0.6197,88.93
0.5125,0.6754,80.43
0.9595,0.753,78.46
1.616,0.5993,89.73
1.483,0.7549,79.38
0.4994,0.7575,78.61
0.9524,0.6228,85.78
0.7709,0.6265,82.9
1.971,0.6238,86.96
0.5993,0.6568,83.49
1.538,0.6009,89.2
0.6001,0.7221,75.88
0.6862,0.6637,79.04
1.002,0.7675,76.41
0.5954,0.6543,83.86
0.4484,0.6899,77.47
0.6059,0.7304,76
0.7891,0.6133,82.86
0.8457,0.5724,91.37
0.889,0.6133,86.1
1.036,0.6347,88.17
0.7397,0.6706,80.53
0.5087,0.6797,81.1
0.4451,0.7072,77.52
0.9625,0.579,88.26
0.727,0.6854,81
1.543,0.746,78.83
1.009,0.6094,82.03
3.054,0.5912,96.82
0.7488,0.6072,83.31
1.335,0.5883,87.04
1.534,0.5659,89.94
0.4451,0.734,77.34
2.784,0.5527,96.12
1.162,0.5687,90.46
1.061,0.6852,79
0.6507,0.6108,85.98
1.478,0.6101,89.22
0.9918,0.6417,79.6
0.568,0.6725,81.68
1.544,0.784,80.06
0.6104,0.7614,76.09
1.079,0.6003,89.07
0.7222,0.6135,87.37
0.56,0.6818,82.21
1.119,0.5818,88.25
2.068,0.6448,87.8
1.501,0.7104,78.05
1.415,0.5778,94.57
0.5427,0.6372,82.27
0.8313,0.6512,83.79
0.5985,0.6334,83.98
0.8896,0.6093,86.21
0.9861,0.5757,88.63
0.4508,0.7839,75.84
0.9217,0.623,85.38
0.5387,0.7382,80.02
0.6182,0.8041,76.25
0.8586,0.5892,90.96
1.508,0.6009,89.56
0.9548,0.6818,76.13
2.002,0.5593,96.51
0.4032,0.8247,79.99
0.9717,0.7393,78.03
0.7952,0.6445,82.21
0.666,0.7089,83.57
0.4576,0.8113,75.48
0.8119,0.595,89.15
1.661,0.6373,91.48
0.6127,0.693,78.57
1.842,0.5532,94.8
0.2956,0.8247,75.17
0.8171,0.6038,83.2
1.487,0.5766,89.1
0.4524,0.7482,77.57
2.545,0.59,93.11
0.8785,0.6081,86.44
1.954,0.5559,96.26
1.172,0.6512,80.8
0.8604,0.574,91.62
0.8596,0.7152,75.41
1.201,0.5681,92.31
1.701,0.6293,91.5
0.8466,0.6473,83.78
1.195,0.6612,83.41
2.077,0.5545,96.29
0.3845,0.744,79.43
0.9971,0.6176,87.29
1.315,0.574,93.17
0.8237,0.6488,83.92
0.8403,0.6571,83.91
0.6237,0.666,77.73
1.419,0.5916,88.68
0.6898,0.7644,78.05
1.522,0.6639,86.25
0.6193,0.6261,83.84
0.736,0.6446,88.48
1.788,0.682,83.67
2.767,0.606,94.64
1.629,0.6223,92.06
2.183,0.6005,99
0.6629,0.6755,79.35
0.398,0.7728,80.53
0.7116,0.6113,82.01
0.8512,0.6175,84.55
0.4153,0.7495,76.08
0.5941,0.6523,83.53
1.103,0.6405,87.93
2.263,0.5815,99
0.3201,0.8299,76.37
0.8357,0.6852,81.19
0.7627,0.7107,81.62
0.8651,0.6135,84.85
1.026,0.592,88.36
1.951,0.5557,95.86
0.9034,0.6593,84.98
0.8171,0.6499,83.33
0.9372,0.6459,85.09
0.744,0.7653,78.9
1.08,0.6599,82.67
0.4374,0.6844,78.17
0.6664,0.6365,85.16
1.053,0.5971,81.88
1.534,0.6353,88.48
0.9908,0.6445,86.58
1.391,0.5613,87.25
1.012,0.6128,87.69
0.8319,0.6533,83.86
0.5211,0.6793,80.9
0.373,0.7275,80.39
0.3869,0.7699,80.18
0.7904,0.5794,89.95
0.5521,0.6786,82.66
0.8471,0.643,83.96
1.383,0.5938,88.01
0.7389,0.6598,80.73
0.4379,0.6939,78.24
0.6499,0.7164,77.47
0.9688,0.5814,87.01
1.599,0.6032,91.04
2.705,0.5788,93.86
1.188,0.6418,83.53
1.057,0.5776,88.55
0.7577,0.6313,82.89
1.262,0.6832,83.88
1.489,0.5573,89.1
0.564,0.6885,81.38
2.234,0.582,99
0.7605,0.6564,87.67
0.5997,0.6726,83.05
0.7438,0.6915,80.15
1.943,0.5805,94.74
0.4745,0.7655,77.43
1.116,0.6665,81.88
1.49,0.6106,89.66
1.291,0.5885,91.22
1.68,0.5542,92.71
0.6713,0.6207,85.18
1.675,0.5877,92.03
0.6373,0.6647,78.3
0.4164,0.7292,76.86
1.01,0.5996,87.79
0.6575,0.654,84.7
0.419,0.7467,81.41
0.8861,0.6855,83.93
1.055,0.6133,81.03
0.9925,0.6197,79.96
1.334,0.5908,87.28
0.6688,0.6361,79.73
0.6433,0.7309,77.41
0.4172,0.7525,81.64
0.6599,0.6261,85.22
0.7342,0.6789,80.7
0.9026,0.6394,85.57
0.6085,0.6576,83.77
0.7328,0.6645,80.95
2.781,0.5692,94.51
0.8872,0.6128,85.85
0.6034,0.6876,82.89
0.9757,0.6675,85.83
1.587,0.6597,81.04
0.879,0.6372,84.15
1.573,0.6064,89.4
1.033,0.622,88.79
0.7176,0.6597,81.85
0.7928,0.6036,88.63
0.4825,0.7973,76.59
1.442,0.6736,87.07
0.9433,0.6219,83.92
0.8838,0.6539,85.36
0.6599,0.762,77.11
1.922,0.5594,94.46
1.597,0.6074,90.79
0.4458,0.6971,77.73
0.4027,0.7144,81.92
3.214,0.5474,99
1.594,0.7851,79.6
0.4809,0.7224,78.59
1.031,0.667,80.15
0.8927,0.6846,74.53
2.629,0.5824,93.55
0.8807,0.6128,85.72
0.8605,0.583,85.33
1.559,0.5874,90.33
1.105,0.6136,83.18
0.81,0.6606,83.48
0.3067,0.8458,74.81
1.626,0.5579,90.56
0.3742,0.8087,78.49
1.008,0.5661,89.28
0.8475,0.6672,83.34
1.534,0.5797,89.09
0.4214,0.8028,74.5
0.418,0.8108,75.32
1.579,0.5667,95.38
0.3939,0.7884,80.1
1.015,0.6287,86.79
1.396,0.6404,85.68
1.483,0.6389,88.02
1.342,0.5802,93.37
0.7724,0.6438,82.98
0.9677,0.6149,87.39
0.9363,0.6882,76.42
0.889,0.6795,82.85
1.317,0.7169,77.51
0.5373,0.6786,80.59
0.4901,0.7197,78.79
0.8669,0.5793,91.59
1.037,0.5823,88.67
0.6033,0.667,83.91
0.5928,0.7352,76.82
0.5184,0.684,80.79
1.51,0.6226,89.09
1.021,0.6643,80.91
1.265,0.5877,85.28
0.9718,0.6933,78.25
0.6889,0.6803,79.61
0.9938,0.7979,76.38
2.228,0.5569,98.34
0.5194,0.6731,80.87
0.4826,0.7328,78.8
0.7722,0.6143,88.36
0.5185,0.7533,79.77
0.4887,0.7049,84.21
0.9965,0.645,86.67
1.14,0.6608,83.27
1.292,0.5637,93.76
0.7346,0.7167,80.29
0.8792,0.6062,84.8
1.052,0.6397,88.3
1.085,0.6873,81.66
0.8175,0.6873,83.05
0.5125,0.6754,80.43
0.8521,0.6768,83.33
0.7608,0.6161,88.95
0.4747,0.6918,84.1
1.082,0.6263,83.54
0.6276,0.6629,78.21
0.4439,0.7433,82.31
0.4295,0.7293,76.76
0.7591,0.6347,82.72
1.269,0.6144,86.17
0.4533,0.7098,78.09
1.091,0.5888,89.95
0.7135,0.648,80.95
0.9951,0.7378,76.84
0.4916,0.6891,79.12
0.7706,0.6375,82.79
1.005,0.6142,87.55
1.168,0.6952,82.55
0.5363,0.7164,79.66
0.8142,0.7445,73.73
1.052,0.6889,79.39
1.053,0.7112,78.71
1.372,0.566,93.58
0.5898,0.78,74.63
1.011,0.6701,80.27
1.367,0.6612,86.53
0.6168,0.7345,82.12
0.5033,0.655,81.97
0.5229,0.747,79.92
1.039,0.5965,81.72
1.066,0.6606,79.72
1.047,0.7233,79.06
0.499,0.753,79.02
0.441,0.7324,82.73
1.132,0.6552,81.27
0.6168,0.6204,83.87
1.284,0.6644,83.89
1.176,0.5954,85.17
0.9337,0.6853,85.72
1.159,0.6723,80.2
1.369,0.6419,86.5
2.015,0.5567,98.2
1.009,0.6152,87.54
0.7126,0.7839,78.11
0.4072,0.783,79.2
0.9366,0.6332,77.31
0.6859,0.7523,78.45
1.044,0.6418,88.11
1.165,0.6928,82.02
0.6653,0.673,84.25
0.6461,0.6974,84.11
1.151,0.6347,83.96
0.5274,0.7036,80.23
0.5636,0.7223,81.11
1.375,0.6385,86.27
0.3844,0.7719,80.17
1.265,0.5871,92.83
0.8905,0.7204,83.61
2.011,0.5627,96.03
0.9728,0.5898,86.92
0.9155,0.7295,82.96
1.006,0.5815,88.37
0.3848,0.7699,80.51
1.592,0.6205,90.05
1.176,0.5839,91.46
1.614,0.5674,90.82
1.486,0.7761,78.72
1.513,0.9049,77.97
1.483,0.5553,89.55
0.8956,0.6968,84.26
0.8138,0.6029,84.7
0.3407,0.7962,76.97
0.8048,0.6775,81.9
1.051,0.667,87.59
0.3722,0.8261,78.14
1.21,0.607,84.95
0.6562,0.7553,82.85
0.5647,0.7082,81.37
0.75,0.626,82.8
0.5652,0.6902,77.11
0.8795,0.618,78.84
0.9164,0.629,85.57
0.7063,0.6444,81.42
2.029,0.5591,96.17
1.113,0.6111,83.59
0.9881,0.6399,86.75
0.5775,0.7593,81.1
1.161,0.6676,89.86
0.6755,0.6169,80.35
0.7022,0.6477,81.19
1.676,0.6082,82.41
1.147,0.5816,84.57
2.847,0.5738,95.93
1.458,0.6363,88.43
0.7868,0.6517,82.45
1.549,0.5664,98.21
0.4922,0.7483,78.24
0.3254,0.8331,76.94
0.6367,0.6678,78.36
0.714,0.6224,87.27
0.7548,0.6755,82.39
0.9487,0.6927,85.84
0.8919,0.61,86.12
0.7004,0.6876,78.87
1.168,0.5692,91.74
0.9263,0.6257,85.66
0.415,0.7805,75.17
1.288,0.5993,86.12
0.8122,0.7852,80.4
0.6871,0.6553,79.91
0.7691,0.6153,88.38
2.116,0.575,99
0.6508,0.715,83.77
1.717,0.5964,91.06
0.5475,0.6496,82.56
1.168,0.6358,89.57
0.4912,0.7441,79.01
0.967,0.6672,79.81
0.8411,0.6071,84.68
0.7664,0.6185,88.87
0.9644,0.6573,86.51
0.8462,0.6552,89.21
1.522,0.5855,90.71
0.6075,0.6728,83.47
0.6921,0.718,78.62
0.6389,0.701,85.27
0.4834,0.6947,79.52
1.19,0.6074,85.02
1.394,0.5888,88.75
1.083,0.6021,81.96
0.7737,0.6556,82
0.4325,0.7689,79.46
2.09,0.6068,89.49
1.712,0.5663,98.63
1.187,0.6706,82.78
1.24,0.6573,84.89
1.27,0.684,83.42
0.4612,0.7073,77.9
0.5064,0.663,81.39
1.673,0.7459,81.86
0.555,0.6718,82.47
0.6298,0.6398,85.55
0.5889,0.6818,76.95
0.7457,0.6402,88.04
1.381,0.6652,87.68
0.3674,0.7641,74.14
1.336,0.5921,86.99
0.7519,0.651,82.09
1.023,0.6638,87.27
0.6112,0.7027,82.29
1.386,0.6071,88.12
0.5638,0.6226,82.92
1.101,0.6609,81.42
1.253,0.6077,92.1
0.779,0.5898,83.96
0.8007,0.6456,82.49
1.635,0.8092,80.65
0.6957,0.6505,86
0.5059,0.7497,78.48
0.5059,0.6579,81.08
0.5533,0.6964,81.98
0.6671,0.6588,84.77
0.7139,0.6594,86.52
0.5905,0.6895,83
0.5813,0.6826,77.17
0.4405,0.7135,77.67
0.7112,0.6738,80.66
0.6605,0.6192,85.81
0.5678,0.6914,81.81
0.7137,0.6666,85.51
0.6891,0.7517,78.46
1.026,0.592,88.36
1.48,0.6674,79.42
0.9977,0.6223,87.17
0.4747,0.7717,77.44
0.5659,0.7083,81.4
2.202,0.6072,88.94
1.317,0.581,86.02
1.852,0.6528,83.91
1.675,0.5877,92.03
1.703,0.559,92.7
0.3668,0.7472,74.32
0.8242,0.7261,73.56
0.6056,0.6756,83.23
1.13,0.5967,89.41
0.6422,0.7391,77.77
0.5635,0.6887,81.95
1.233,0.6518,85.31
0.7458,0.6587,80.95
1.095,0.6075,87.37
1.37,0.5713,93.49
2.082,0.6755,88.31
1.477,0.5962,89.43
1.084,0.6804,78.67
0.4416,0.7209,82.9
1.109,0.7299,79.82
0.39,0.7997,74.2
0.3623,0.7879,78.75
0.9651,0.6065,86
0.7236,0.7065,80.5
0.9255,0.5966,86.29
0.9831,0.5735,92.91
1.081,0.7084,81.01
1.341,0.564,94.55
1.587,0.5999,89.98
0.9569,0.6165,79.9
0.4852,0.6966,84.26
0.91,0.6006,86.14
1.182,0.5636,91.49
0.4906,0.7176,79.26
1.25,0.6664,84.8
1.773,0.5574,93.34
0.5133,0.6724,81.3
0.5223,0.6707,81.08
0.7688,0.6738,81.79
0.4707,0.6872,79.36
0.6431,0.6034,86.45
0.6414,0.6758,77.99
0.605,0.683,78.32
0.763,0.6976,81.79
0.977,0.6236,87.29
0.8505,0.6441,84
0.5529,0.7118,75.09
0.6824,0.6504,80.02
0.8148,0.6675,81.78
0.3221,0.7447,78.19
0.5558,0.7134,81.52
0.4331,0.6834,78.32
0.801,0.6144,83.09
1.599,0.6093,90.85
0.9704,0.6406,85.24
0.7376,0.6937,80.52
0.6974,0.5957,80.62
1.312,0.5986,86.22
0.7211,0.5932,87.32
0.5422,0.7811,79.68
0.5358,0.6918,80.31
1.074,0.5656,88.84
0.5294,0.6991,79.89
1.088,0.6112,89.4
0.913,0.6607,78.12
1.7,0.5553,92.88
0.8571,0.6828,82.75
0.4878,0.6837,79.11
0.6622,0.6954,79.2
0.3714,0.8177,78.92
0.551,0.6518,82.27
1.077,0.6072,87.27
0.4883,0.7074,84.44
0.804,0.6762,81.83
0.652,0.6105,85.92
1.678,0.5569,91.47
0.8282,0.6798,82.86
1.386,0.5631,94.54
0.7724,0.6283,82.6
1.343,0.5768,86.87
0.4064,0.8397,79.84
2.033,0.6073,87.61
0.4357,0.7749,76.35
0.7224,0.6248,86.51
0.6902,0.7212,78.66
1.32,0.5671,86.07
0.8064,0.7067,81.31
1.239,0.5663,92.15
0.5881,0.6505,83.42
0.6133,0.6658,78.63
0.5218,0.6751,81.39
0.4606,0.7234,77.29
0.7297,0.6433,81.58
1.232,0.5822,85.42
1.269,0.5771,91.83
0.7654,0.6383,88.01
0.5182,0.6486,86.19
1.357,0.6342,86.28
0.5331,0.749,80.62
0.5377,0.7346,79.85
0.9614,0.5658,87.39
0.3687,0.7469,74.52
0.5232,0.719,73.86
0.8959,0.6651,84.69
0.6982,0.6725,86.1
1.356,0.6317,84.2
1.77,0.5545,93.26
0.6728,0.6827,78.85
1.018,0.6261,88.57
1.097,0.5733,90.02
0.7584,0.6332,82.61
0.3386,0.8,77.66
1.335,0.5883,87.04
0.8227,0.6014,90.63
0.5814,0.714,81.04
0.5701,0.6956,81.73
0.7122,0.6449,81.61
0.9806,0.6409,78.73
0.5405,0.7687,79.49
1.681,0.5768,97.88
0.2926,0.855,74.61
1.466,0.5816,88.64
1.14,0.6584,81.61
1.039,0.6348,80.73
0.3181,0.8825,74.57
0.6371,0.6679,85.06
2.024,0.599,87.68
0.6615,0.6866,79.49
1.19,0.6381,83.81
1.4,0.6243,86.67
1.041,0.6502,88.29
0.6939,0.676,86.67
0.4885,0.8088,77.59
0.6333,0.7182,77.63
0.8954,0.5822,85.71
0.3925,0.784,80.48
0.8776,0.6041,84.99
0.892,0.7678,77.3
0.8078,0.6313,84.23
0.5413,0.6856,74.87
1.122,0.6835,80.54
0.3774,0.7299,80.77
0.332,0.7637,78.34
0.5598,0.6729,82.05
0.9763,0.6049,87.83
1.491,0.6033,88.14
0.7472,0.6191,81.44
1.08,0.5989,89.13
1.382,0.5725,87.56
0.7855,0.7253,81.18
0.7424,0.6931,80.58
0.8211,0.6794,82.61
0.5332,0.6967,80.17
2.718,0.6367,94.38
1.039,0.6382,88.09
0.7723,0.629,82.87
2.041,0.6295,86.51
0.5689,0.6901,81.64
1.211,0.7658,73.98
0.4361,0.7369,82.91
0.6211,0.6757,78.27
1.239,0.6201,84.26
1.181,0.618,84.67
0.3433,0.768,72.2
1.286,0.6012,86.51
0.7399,0.7191,86.76
0.8589,0.6704,83.53
1.56,0.695,80.17
1.262,0.5643,93.06
1.599,0.5553,90.9
0.5345,0.7044,80.1
0.3948,0.6989,82.28
0.8352,0.5927,84.98
1.093,0.5978,89.24
0.458,0.7521,77.55
1.867,0.5857,95.09
0.596,0.6641,84.19
0.677,0.7249,78.55
1.405,0.5931,88.98
1.492,0.5629,95.27
0.598,0.6739,83.75
1.132,0.5995,90.6
0.5731,0.6777,76.75
0.8879,0.6899,83.9
1.054,0.6006,89.26
0.3821,0.7338,75.94
1.264,0.5762,93.52
0.6025,0.6698,83.23
0.7955,0.6822,81.89
0.743,0.6843,80.32
0.8076,0.6513,82.42
1.341,0.5883,86.6
0.4836,0.7116,78.92
2.16,0.6129,96.93
0.9481,0.6311,87.17
0.6554,0.6578,84.75
1.683,0.7491,81.91
1.707,0.5799,92.05
0.5729,0.7432,74.75
0.7259,0.7497,79.53
0.5316,0.6299,80.83
0.6942,0.7036,78.81
1.087,0.6958,81.46
0.8611,0.7218,75.61
0.663,0.6904,79.33
0.9754,0.6942,85.35
0.756,0.6601,87.15
1.587,0.5964,89.07
0.7921,0.6599,82.26
0.9515,0.6005,86.39
0.6585,0.7142,83.19
0.5215,0.6407,80.67
0.7836,0.7546,80.55
0.4524,0.7482,77.57
0.9319,0.6007,86.37
0.5213,0.725,79.93
0.8358,0.646,83.62
0.6088,0.7421,81.98
0.8844,0.7617,74.6
1.372,0.6435,86.4
0.6936,0.7085,78.74
0.5783,0.7566,74.76
0.3849,0.8582,78.81
0.4928,0.7367,79.18
0.8812,0.6132,84.84
1.613,0.6151,90.52
0.6054,0.6098,84.62
0.5669,0.702,81.95
0.7402,0.7371,79.6
0.9629,0.6698,79.68
1.061,0.6128,89.05
0.7788,0.6557,82.24
2.209,0.5567,96.88
0.357,0.843,77.32
