INa_IC50,INa_h,INaL_IC50,INaL_h
2.54e+09,1.983,37800,0.6001
2.664e+09,1.981,26940,0.5719
2.431e+09,1.815,30040,0.504
2.348e+09,1.887,44230,0.6112
2.471e+09,1.725,40220,0.689
2.481e+09,1.93,36640,0.5872
2.402e+09,1.892,37930,0.5637
2.396e+09,1.963,55940,0.5984
2.245e+09,1.96,57740,0.5632
2.43e+09,1.982,53280,0.582
2.405e+09,1.994,47480,0.5201
2.48e+09,1.987,48800,0.5312
2.514e+09,1.822,36130,0.5493
2.822e+09,1.721,46170,0.5089
2.178e+09,1.853,35450,0.5708
2.213e+09,1.985,47590,0.6051
2.956e+09,1.705,52030,0.5579
2.511e+09,1.659,39950,0.5364
2.4e+09,1.923,34380,0.5772
2.601e+09,1.988,34000,0.518
2.609e+09,1.953,47810,0.7174
2.839e+09,1.996,48170,0.5576
2.625e+09,1.967,38520,0.5663
2.599e+09,1.739,30300,0.6056
2.517e+09,1.862,28040,0.5133
2.5e+09,1.967,37360,0.5003
2.426e+09,1.907,53640,0.5756
2.553e+09,1.987,64470,0.541
2.605e+09,1.955,38750,0.5125
2.237e+09,1.913,47710,0.5936
2.22e+09,1.934,33640,0.5352
2.672e+09,1.758,33870,0.6448
2.543e+09,1.75,38970,0.6102
2.881e+09,1.662,49260,0.5091
2.452e+09,1.953,44940,0.5208
2.356e+09,1.987,43480,0.5844
2.239e+09,1.964,34020,0.5084
2.362e+09,1.941,46840,0.5656
2.576e+09,1.865,42230,0.5146
2.374e+09,1.801,44970,0.5234
2.452e+09,1.982,41250,0.5012
2.261e+09,1.97,51040,0.5164
2.38e+09,1.984,41410,0.5281
2.51e+09,1.924,32590,0.5135
2.352e+09,1.977,28910,0.5128
2.416e+09,1.972,26830,0.5886
2.539e+09,1.921,43180,0.509
2.523e+09,1.962,42090,0.5481
2.444e+09,1.905,38560,0.5607
2.419e+09,1.975,39560,0.6322
2.33e+09,1.918,22770,0.6035
2.672e+09,1.882,81220,0.6552
2.17e+09,1.889,40750,0.5579
2.325e+09,1.994,37800,0.5259
2.687e+09,1.948,37960,0.5485
2.38e+09,1.987,48710,0.5127
2.367e+09,1.935,33200,0.7036
2.095e+09,1.981,52930,0.5396
2.446e+09,1.901,66940,0.5192
2.254e+09,1.852,58790,0.5676
2.158e+09,1.969,36700,0.5048
2.523e+09,1.869,42870,0.5175
2.471e+09,1.954,52170,0.5354
2.469e+09,1.962,49980,0.6051
2.39e+09,1.967,35170,0.5085
2.362e+09,1.978,36310,0.6395
2.762e+09,1.842,45520,0.6643
2.484e+09,1.859,33900,0.5649
2.61e+09,1.837,41510,0.57
2.223e+09,1.973,34440,0.662
2.32e+09,1.959,39700,0.6067
2.446e+09,1.88,40430,0.5079
2.448e+09,1.974,37020,0.5631
2.389e+09,1.985,40870,0.5532
2.449e+09,1.965,61630,0.599
2.467e+09,1.885,25360,0.5348
2.416e+09,1.929,25770,0.6749
2.373e+09,1.973,37760,0.5139
2.338e+09,1.973,56250,0.5453
2.613e+09,1.88,35840,0.5998
2.8e+09,1.713,27550,0.6912
2.234e+09,1.938,37370,0.502
2.768e+09,1.91,39890,0.5063
2.521e+09,1.9,37430,0.5154
2.356e+09,1.822,30690,0.5094
2.368e+09,1.992,50390,0.5939
2.458e+09,1.703,38090,0.5575
2.413e+09,1.911,20860,0.5408
2.328e+09,1.943,28990,0.5636
2.414e+09,1.86,49570,0.6003
2.23e+09,1.923,54470,0.5029
2.541e+09,1.85,51440,0.5416
2.447e+09,1.987,41150,0.5138
2.521e+09,1.899,36970,0.5497
2.49e+09,1.869,43400,0.5665
2.237e+09,1.908,49140,0.5153
2.39e+09,1.905,47290,0.5316
2.222e+09,1.955,44730,0.5645
2.333e+09,1.996,35960,0.5002
2.425e+09,1.86,35820,0.5096
2.754e+09,1.808,33550,0.5847
3.283e+09,1.754,45270,0.6507
2.677e+09,1.946,50560,0.5843
2.368e+09,1.809,54500,0.5107
2.376e+09,1.976,48160,0.5401
2.382e+09,1.961,36080,0.5711
2.383e+09,1.964,23530,0.5258
2.349e+09,1.972,28970,0.5153
2.272e+09,1.971,37780,0.678
2.37e+09,1.849,34430,0.5566
2.569e+09,1.807,33830,0.5179
2.287e+09,1.976,42200,0.5053
2.422e+09,1.999,30310,0.514
2.402e+09,1.975,37040,0.5021
2.431e+09,1.948,28880,0.5735
2.203e+09,1.985,26360,0.5074
2.614e+09,1.983,34370,0.569
2.454e+09,1.972,33090,0.5229
2.139e+09,2,20010,0.5148
2.314e+09,1.971,41560,0.5236
2.414e+09,1.971,37900,0.5719
2.524e+09,1.961,48620,0.6045
2.732e+09,1.794,42080,0.5458
2.258e+09,1.995,48380,0.5152
2.164e+09,1.853,60640,0.5591
2.532e+09,1.886,45680,0.5461
2.153e+09,1.963,58920,0.5304
2.59e+09,1.865,42460,0.5216
2.558e+09,1.915,35690,0.5451
2.428e+09,1.943,29080,0.6066
2.422e+09,1.945,33560,0.5341
2.807e+09,1.878,36360,0.5076
3.264e+09,1.646,41280,0.521
2.855e+09,1.728,25910,0.5907
2.524e+09,1.702,47570,0.6587
2.155e+09,1.993,42020,0.7425
2.414e+09,1.928,38380,0.5935
2.327e+09,1.902,46180,0.5001
2.392e+09,1.796,31110,0.5191
2.362e+09,1.983,43660,0.5212
2.36e+09,1.99,48830,0.5059
2.337e+09,1.971,51070,0.575
2.459e+09,1.984,30150,0.5672
2.845e+09,1.861,29970,0.5713
2.614e+09,1.79,43520,0.5196
2.326e+09,1.926,44060,0.5737
2.762e+09,1.862,42290,0.504
2.601e+09,1.957,48670,0.5682
2.664e+09,1.925,38010,0.5246
2.645e+09,1.962,39370,0.5368
2.556e+09,1.998,45200,0.664
2.604e+09,1.908,39630,0.55
2.504e+09,1.875,50960,0.5821
2.512e+09,1.871,60930,0.7317
2.295e+09,1.874,38350,0.5636
2.935e+09,1.825,38540,0.5273
2.251e+09,1.955,47570,0.5566
2.398e+09,1.853,62550,0.5245
2.41e+09,1.96,38090,0.5159
2.144e+09,1.96,46340,0.5949
2.585e+09,1.884,36970,0.5269
2.311e+09,1.886,43890,0.792
2.23e+09,1.87,43820,0.577
2.251e+09,1.958,47160,0.5991
2.227e+09,1.989,48890,0.7233
2.436e+09,1.981,39180,0.7244
2.23e+09,1.927,30150,0.6502
2.604e+09,1.979,47590,0.5966
2.398e+09,1.876,43740,0.6079
2.277e+09,1.723,65560,0.6793
2.33e+09,1.888,50190,0.5011
2.638e+09,1.816,49630,0.5095
2.569e+09,1.866,45040,0.5011
2.51e+09,1.918,50180,0.5984
2.475e+09,1.887,72810,0.5198
2.196e+09,1.994,54640,0.5242
2.587e+09,1.896,46940,0.5026
2.436e+09,1.953,42580,0.627
2.287e+09,1.993,37360,0.783
2.22e+09,1.982,36810,0.8504
2.338e+09,1.996,37550,0.7644
2.654e+09,1.784,45970,0.7953
2.956e+09,1.785,54180,0.5051
2.398e+09,2,32820,0.5177
2.581e+09,1.684,35060,0.5658
2.255e+09,1.753,28090,0.5518
2.496e+09,1.792,45350,0.5035
2.227e+09,1.991,59310,0.5039
2.338e+09,1.693,51280,0.5465
2.137e+09,1.889,37260,0.5379
2.328e+09,1.946,46660,0.5146
2.245e+09,1.988,40410,0.564
2.322e+09,1.977,69250,0.5224
2.385e+09,1.868,25740,0.649
2.484e+09,1.907,40230,0.5286
2.595e+09,1.903,36380,0.5233
2.505e+09,1.988,23770,0.5551
2.655e+09,1.796,54760,0.5388
2.612e+09,1.926,22290,0.7005
2.729e+09,1.802,35120,0.6322
2.346e+09,1.935,38140,0.6702
3.08e+09,1.911,36350,0.5953
2.486e+09,1.901,40210,0.5503
2.708e+09,1.798,34430,0.5101
2.754e+09,1.926,25020,0.6387
2.568e+09,1.759,34990,0.5909
2.51e+09,1.584,25690,0.6042
2.478e+09,1.828,50110,0.5091
2.336e+09,1.878,40160,0.536
2.608e+09,1.942,38890,0.5149
2.5e+09,1.987,34120,0.6137
2.323e+09,1.964,33920,0.5537
2.366e+09,1.955,35890,0.5475
2.455e+09,1.946,31060,0.5248
2.366e+09,1.905,41550,0.8868
2.208e+09,1.932,30970,0.6145
2.38e+09,1.95,42750,0.6379
2.352e+09,1.949,38260,0.6454
2.413e+09,1.999,39680,0.5427
2.394e+09,1.875,28210,0.5157
2.237e+09,1.933,35370,0.5616
2.512e+09,1.98,20010,0.5033
2.509e+09,1.896,21560,0.5606
2.898e+09,1.871,22650,0.5355
2.587e+09,1.785,26140,0.5178
2.392e+09,1.925,44000,0.5124
2.183e+09,1.99,41010,0.5479
2.199e+09,1.978,36310,0.5378
2.583e+09,1.602,43780,0.6696
2.821e+09,1.991,49060,0.5218
2.419e+09,1.966,31660,0.7691
2.387e+09,1.985,46740,0.6801
2.461e+09,1.833,41150,0.6321
2.308e+09,1.783,32250,0.5024
2.668e+09,1.813,33840,0.7405
2.624e+09,1.97,18480,0.5948
2.398e+09,1.895,23960,0.6016
2.534e+09,1.936,65010,0.6323
2.341e+09,1.985,21470,0.6363
2.499e+09,1.896,35370,0.5929
2.417e+09,1.872,64010,0.5597
2.603e+09,1.981,39180,0.6682
2.156e+09,1.961,30990,0.6484
2.454e+09,1.822,44040,0.5479
2.677e+09,1.993,29740,0.5124
2.788e+09,1.954,45060,0.5786
2.69e+09,1.988,37090,0.5034
2.46e+09,1.929,33390,0.5347
2.154e+09,1.981,32540,0.5861
2.29e+09,1.92,21810,0.7061
2.364e+09,1.774,37480,0.589
2.572e+09,1.963,36280,0.5195
2.358e+09,1.996,35970,0.5197
2.287e+09,1.886,30510,0.5295
2.144e+09,1.626,43810,0.6404
2.774e+09,1.633,41940,0.5387
2.336e+09,1.69,44810,0.5294
2.708e+09,1.778,33760,0.9218
2.765e+09,1.895,51670,1.006
2.492e+09,1.806,70350,0.6709
2.921e+09,1.744,62570,0.7352
2.59e+09,1.865,45410,0.5458
2.481e+09,1.767,35980,0.5432
2.374e+09,1.899,37440,0.5042
2.549e+09,1.913,38780,0.5316
2.424e+09,1.927,39580,0.5233
2.222e+09,1.995,41910,0.5914
2.423e+09,1.966,27900,0.7123
2.365e+09,1.99,28470,0.5991
2.523e+09,1.91,49180,0.5181
2.752e+09,1.979,32160,0.5991
2.572e+09,1.79,33930,0.6042
2.251e+09,1.994,49750,0.5622
2.447e+09,1.868,30970,0.6101
2.388e+09,1.911,39490,0.6111
2.465e+09,1.827,48670,0.6647
2.681e+09,1.739,43930,0.6638
2.484e+09,1.858,51960,0.8939
2.396e+09,1.957,46410,0.6445
2.438e+09,1.953,33650,0.5084
2.248e+09,1.987,48750,0.5326
2.63e+09,1.922,45530,0.5471
2.426e+09,1.925,39050,0.5153
2.454e+09,1.94,38480,0.5027
2.316e+09,1.806,35840,0.5432
2.378e+09,1.891,29680,0.6244
2.396e+09,1.999,29660,0.5471
2.366e+09,1.981,28210,0.5482
2.42e+09,1.991,32780,0.5378
2.52e+09,1.913,34380,0.5109
2.613e+09,1.771,34550,0.6323
2.393e+09,1.903,41870,0.535
2.458e+09,1.905,34510,0.6117
2.41e+09,1.972,44440,0.5816
2.498e+09,1.96,35190,0.8172
2.367e+09,1.94,53090,0.7639
2.482e+09,1.93,27570,0.5781
2.282e+09,1.987,37890,0.5657
2.531e+09,1.898,26050,0.6126
2.259e+09,1.944,37660,0.5549
2.14e+09,1.996,35490,0.602
2.543e+09,1.876,21330,0.5699
2.672e+09,1.815,26660,0.6083
2.459e+09,1.855,34690,0.5393
2.512e+09,1.975,44440,0.5115
2.354e+09,1.983,43200,0.5167
2.33e+09,1.695,41260,0.5401
2.852e+09,1.619,41660,0.6668
2.375e+09,1.834,34960,0.5528
2.512e+09,1.883,41710,0.5039
2.54e+09,1.749,40110,0.6517
2.523e+09,1.913,32920,0.6638
2.414e+09,1.875,29270,0.5287
2.539e+09,1.915,41610,0.5288
2.52e+09,1.898,31360,0.6323
2.375e+09,1.699,43990,0.5269
2.559e+09,1.841,46820,0.5754
2.585e+09,1.978,63010,0.5296
2.47e+09,1.955,50590,0.5125
2.53e+09,1.761,31520,0.5745
3.123e+09,1.664,39930,0.6999
2.818e+09,1.71,34800,0.5648
2.301e+09,1.77,57610,0.5877
2.662e+09,1.998,43330,0.6264
2.518e+09,1.99,47110,0.5457
2.434e+09,1.934,21620,0.6626
2.447e+09,1.971,28020,0.5562
2.539e+09,1.968,41610,0.5003
2.51e+09,1.986,37820,0.539
2.457e+09,1.978,33490,0.5852
2.417e+09,1.995,28150,0.5492
2.87e+09,1.723,25250,0.5009
2.279e+09,1.947,28410,0.5318
2.445e+09,1.879,33560,0.5221
2.388e+09,1.997,30980,0.5926
2.415e+09,1.89,24600,0.5199
2.385e+09,1.656,23200,0.579
2.379e+09,1.93,44780,0.5575
2.464e+09,1.991,32230,0.653
2.342e+09,1.966,36830,0.6064
2.334e+09,1.982,48920,0.6465
2.434e+09,1.889,45250,0.5392
2.368e+09,1.839,45280,0.5189
2.492e+09,1.95,44890,0.5799
2.736e+09,1.944,92340,0.5
2.502e+09,1.858,104800,0.5179
2.371e+09,1.964,99560,0.5193
2.462e+09,1.775,32900,0.5117
2.764e+09,1.975,33910,0.6728
2.625e+09,1.766,41130,0.5548
2.299e+09,1.918,49930,0.648
2.563e+09,1.823,71770,0.6963
2.551e+09,1.717,28570,0.6114
2.67e+09,1.969,32640,0.5987
2.506e+09,1.927,30330,0.5128
2.326e+09,1.924,44520,0.6284
2.407e+09,1.786,33290,0.5127
2.777e+09,1.899,45610,0.5861
2.7e+09,1.987,27920,0.6235
2.403e+09,1.817,28270,0.6488
2.689e+09,1.825,27120,0.7079
2.413e+09,1.657,36250,0.5269
2.828e+09,1.711,42810,0.5394
2.634e+09,1.838,47190,0.5504
2.411e+09,1.743,57960,0.5097
2.424e+09,1.859,59300,0.5317
2.3e+09,1.942,45820,0.5486
2.418e+09,1.917,49350,0.5465
2.588e+09,1.768,41110,0.5076
2.501e+09,1.894,26740,0.6642
2.542e+09,1.987,45470,0.6424
2.304e+09,1.988,60350,0.5137
2.198e+09,1.998,40760,0.5764
2.407e+09,1.958,26920,0.5655
2.539e+09,1.988,62490,0.5481
2.549e+09,1.975,46200,0.6783
2.365e+09,1.917,52010,0.6076
2.428e+09,1.998,32600,0.5781
2.23e+09,1.976,53150,0.501
2.451e+09,1.983,45230,0.5819
2.579e+09,1.927,61860,0.5127
2.286e+09,1.988,33000,0.583
2.506e+09,1.979,33910,0.5438
2.608e+09,1.919,33510,0.6284
2.406e+09,1.981,49100,0.5812
2.132e+09,1.849,34360,0.5272
2.506e+09,1.791,37620,0.5215
2.459e+09,1.681,40240,0.7359
2.419e+09,1.871,31840,0.6382
2.414e+09,1.908,41670,0.6635
2.317e+09,1.894,25520,0.5225
2.426e+09,1.976,35830,0.5464
2.244e+09,1.994,35020,0.6552
2.523e+09,1.934,49570,0.5026
2.322e+09,1.888,35710,0.5426
2.552e+09,1.956,32850,0.5081
2.585e+09,1.852,26830,0.7
2.455e+09,1.867,33400,0.5178
2.259e+09,1.918,39990,0.5222
2.395e+09,1.844,32370,0.5901
2.755e+09,1.999,37500,0.5309
2.565e+09,1.972,37040,0.503
2.265e+09,1.967,31880,0.6471
2.239e+09,1.88,36260,0.5679
2.3e+09,1.915,39540,0.5443
2.332e+09,1.795,37340,0.6042
2.39e+09,1.959,28450,0.5084
2.418e+09,1.972,32920,0.5956
2.405e+09,1.984,51060,0.6633
2.454e+09,1.992,39440,0.5851
2.21e+09,1.905,43900,0.6647
2.61e+09,1.81,30330,0.5381
2.348e+09,1.861,37750,0.7305
2.45e+09,1.973,24980,0.5493
2.336e+09,1.942,39680,0.5063
2.443e+09,1.892,39590,0.5184
2.365e+09,1.964,35660,0.5338
2.722e+09,1.989,39030,0.52
2.358e+09,1.985,32420,0.5132
2.354e+09,1.996,35370,0.547
2.634e+09,1.842,46260,0.5391
2.39e+09,1.939,33620,0.6213
3.186e+09,1.795,37450,0.5054
2.505e+09,1.961,41420,0.532
2.497e+09,1.963,43920,0.5673
2.351e+09,1.807,22080,0.5547
2.344e+09,1.936,34320,0.6172
2.24e+09,1.956,38780,0.5227
2.52e+09,1.994,31160,0.5582
2.321e+09,1.923,39810,0.5828
2.509e+09,1.947,45510,0.5785
2.588e+09,1.996,44870,0.5034
2.547e+09,1.989,40760,0.5698
2.44e+09,1.776,28740,0.5945
2.395e+09,1.875,31330,0.6058
2.338e+09,1.894,39550,0.59
2.353e+09,1.865,40580,0.5999
2.517e+09,1.984,66830,0.5474
2.452e+09,1.889,56460,0.5289
2.412e+09,1.913,46030,0.7286
2.521e+09,2,34920,0.6423
2.479e+09,1.924,57090,0.5202
2.642e+09,1.985,31130,0.6197
2.451e+09,1.952,56410,0.6304
2.379e+09,1.978,48770,0.589
2.568e+09,1.97,46520,0.5229
2.59e+09,1.988,30970,0.5596
2.521e+09,1.977,46770,0.5163
2.452e+09,1.943,44290,0.5195
2.281e+09,1.911,47330,0.5116
2.627e+09,1.794,33040,0.5426
2.269e+09,1.853,48490,0.5018
2.877e+09,1.636,22850,0.601
2.427e+09,1.969,35050,0.6839
2.519e+09,1.957,41880,0.6039
2.544e+09,1.915,48650,0.5985
2.395e+09,1.999,41870,0.6327
3.156e+09,1.891,36120,0.57
2.465e+09,1.971,47620,0.5731
2.396e+09,1.94,61160,0.5097
2.544e+09,1.908,26330,0.6221
2.597e+09,1.964,43350,0.5097
2.298e+09,1.856,36730,0.5482
2.263e+09,1.869,45210,0.7168
2.311e+09,1.928,37630,0.5765
2.533e+09,1.83,26660,0.5614
2.644e+09,1.839,44240,0.5703
2.499e+09,1.861,46120,0.5032
2.198e+09,1.953,42160,0.6755
2.42e+09,1.92,64840,0.5006
2.619e+09,1.942,28180,0.7007
2.249e+09,1.99,18980,0.5799
2.561e+09,1.834,26990,0.7772
2.585e+09,1.941,25910,0.613
2.202e+09,1.88,31960,0.6922
2.621e+09,1.829,34560,0.504
2.225e+09,1.93,51860,0.5724
2.541e+09,1.957,49840,0.5134
2.668e+09,1.869,43170,0.5132
2.449e+09,1.92,36690,0.5894
2.181e+09,1.94,54770,0.5124
2.722e+09,1.698,61120,0.5374
2.691e+09,1.85,45290,0.5638
2.368e+09,1.878,35180,0.646
2.681e+09,1.681,33810,0.7391
2.571e+09,1.448,44110,0.5547
2.559e+09,1.878,33180,0.5678
2.289e+09,1.875,28100,0.5809
2.464e+09,1.829,22980,0.5666
2.548e+09,1.92,42180,0.6076
2.626e+09,1.993,48960,0.6754
2.474e+09,1.942,25660,0.5393
2.675e+09,1.939,35270,0.5325
2.489e+09,1.986,52040,0.6289
2.527e+09,1.987,61760,0.523
2.618e+09,1.958,41170,0.5
2.573e+09,1.942,30840,0.6077
2.55e+09,1.951,42510,0.5801
2.427e+09,1.991,27780,0.6417
2.327e+09,1.888,40180,0.7166
2.248e+09,1.908,27940,0.6549
2.275e+09,1.75,39890,0.5786
2.525e+09,1.971,39780,0.5708
2.523e+09,1.992,30680,0.5475
2.523e+09,1.992,25960,0.5765
2.321e+09,1.953,20980,0.5477
2.226e+09,1.995,48570,0.6582
2.289e+09,2,40000,0.5737
2.394e+09,1.965,32380,0.5227
2.597e+09,1.941,33670,0.5515
2.619e+09,1.985,43960,0.5578
2.658e+09,1.924,80900,0.7991
2.528e+09,1.848,37050,0.5396
2.245e+09,1.981,33980,0.7307
2.438e+09,1.922,45510,0.645
2.354e+09,1.9,33770,0.5689
2.34e+09,1.949,39760,0.5241
2.287e+09,1.982,35750,0.574
2.345e+09,1.982,45130,0.5242
2.333e+09,1.994,42960,0.5671
2.417e+09,1.878,33430,0.6328
2.152e+09,1.925,36070,0.5069
2.388e+09,1.984,44590,0.5571
2.202e+09,1.967,41250,0.5717
2.186e+09,1.958,44630,0.6005
2.301e+09,1.994,77010,0.5291
2.49e+09,1.997,51190,0.5431
2.558e+09,1.862,50830,0.5397
2.404e+09,1.989,73090,0.5014
2.344e+09,1.919,53640,0.5153
2.457e+09,1.963,37270,0.522
2.389e+09,1.969,37760,0.5141
2.304e+09,1.9,36400,0.5202
2.693e+09,1.986,31990,0.5278
2.227e+09,1.994,47530,0.5926
2.302e+09,1.909,28700,0.6096
2.277e+09,1.88,37300,0.5479
2.454e+09,1.785,32170,0.5313
2.532e+09,1.992,31220,0.6888
2.43e+09,1.96,25850,0.574
2.328e+09,1.972,36450,0.5226
2.453e+09,1.92,40530,0.577
2.406e+09,1.959,48090,0.6532
2.234e+09,1.96,29300,0.5961
2.775e+09,1.965,33900,0.5327
2.474e+09,1.887,29660,0.6077
2.346e+09,1.981,36770,0.5212
2.39e+09,1.907,46070,0.625
2.494e+09,1.864,39440,0.5685
2.747e+09,1.719,34120,0.7278
2.304e+09,1.94,33990,0.5459
2.328e+09,1.927,60570,0.538
2.557e+09,1.931,58130,0.5256
2.598e+09,1.993,44020,0.5349
2.188e+09,1.988,25510,0.7546
2.615e+09,1.796,25720,0.5174
2.758e+09,1.853,33190,0.528
2.515e+09,1.665,39670,0.5223
2.807e+09,1.539,67350,0.5717
2.947e+09,1.717,43190,0.5097
2.71e+09,1.862,43380,0.5745
2.708e+09,1.859,46740,0.5992
2.38e+09,1.987,41150,0.5407
2.58e+09,1.97,46370,0.6615
2.511e+09,1.853,44070,0.5904
2.352e+09,1.995,49370,0.6232
2.274e+09,1.989,22380,0.5722
2.34e+09,1.994,56100,0.5546
2.499e+09,1.988,58870,0.5032
2.433e+09,1.994,36980,0.5346
2.454e+09,1.986,31320,0.5174
2.525e+09,1.908,41040,0.645
2.709e+09,1.83,74590,0.536
2.051e+09,1.936,34400,0.5876
2.237e+09,1.89,49360,0.5122
2.665e+09,1.697,30890,0.6093
2.5e+09,1.914,38810,0.5663
2.277e+09,1.974,34930,0.5636
2.614e+09,1.761,47430,0.5366
2.515e+09,1.963,31230,0.5543
2.266e+09,1.922,43760,0.5331
2.322e+09,1.967,47440,0.7143
2.355e+09,1.983,44300,0.5634
2.405e+09,1.966,38230,0.6666
2.424e+09,1.875,29560,0.5193
2.33e+09,1.998,27610,0.5599
2.364e+09,1.935,40010,0.6628
2.525e+09,1.921,56510,0.6882
2.485e+09,1.948,31130,0.6294
2.292e+09,1.897,27930,0.5582
2.669e+09,1.865,53240,0.7087
2.398e+09,1.977,42460,0.5475
2.387e+09,1.995,39600,0.5078
2.261e+09,1.985,33810,0.5416
2.304e+09,1.98,42330,0.5584
2.429e+09,1.908,33020,0.5945
2.385e+09,1.863,34170,0.6046
2.222e+09,1.998,29870,0.5212
2.547e+09,1.823,23390,0.6233
2.402e+09,1.868,28760,0.62
2.502e+09,1.917,28340,0.6365
2.707e+09,1.912,39610,0.5007
2.42e+09,1.99,43580,0.5017
2.704e+09,1.91,59100,0.5487
2.441e+09,1.698,37350,0.6128
2.254e+09,1.932,37550,0.5228
2.636e+09,1.963,45150,0.6124
2.606e+09,1.958,44710,0.5502
2.335e+09,1.838,39160,0.5622
2.025e+09,1.979,60810,0.5741
2.523e+09,1.934,21830,0.6078
2.595e+09,1.928,29500,0.7041
2.691e+09,1.825,40810,0.585
2.586e+09,1.879,38820,0.5806
2.434e+09,1.975,35900,0.5903
2.461e+09,1.958,52110,0.7365
2.327e+09,1.996,70310,0.5008
2.206e+09,1.88,57050,0.651
2.036e+09,1.997,44930,0.5343
2.839e+09,1.793,34310,0.5521
2.232e+09,1.983,47450,0.5753
2.303e+09,1.82,35500,0.513
2.585e+09,1.975,50270,0.6011
2.656e+09,1.948,60990,0.5664
2.253e+09,1.983,42410,0.5506
2.405e+09,1.815,37810,0.547
2.569e+09,1.814,49540,0.5877
2.241e+09,1.999,35690,0.5573
2.286e+09,1.97,34030,0.5355
2.29e+09,1.996,28520,0.7226
2.321e+09,1.963,22620,0.8467
2.478e+09,1.881,27950,0.6495
2.365e+09,1.998,33480,0.5653
2.453e+09,1.999,43460,0.5057
2.472e+09,1.966,49840,0.5041
2.691e+09,1.968,56370,0.5279
2.565e+09,1.791,48210,0.5108
2.626e+09,1.85,51460,0.5666
2.567e+09,1.911,43650,0.6659
2.437e+09,1.957,31350,0.5332
2.37e+09,1.999,50410,0.5246
2.144e+09,1.846,25050,0.5407
2.251e+09,1.853,30380,0.5028
2.879e+09,1.891,49290,0.5518
2.894e+09,1.929,47360,0.5066
2.17e+09,1.943,40330,0.5268
2.146e+09,1.962,45040,0.503
2.534e+09,1.978,43260,0.5208
2.559e+09,1.995,55140,0.5349
2.357e+09,1.92,44060,0.556
2.362e+09,2,33820,0.6436
2.573e+09,1.923,38290,0.5384
2.486e+09,1.984,45880,0.6904
2.208e+09,1.974,37010,0.5803
2.499e+09,1.946,35330,0.5604
2.342e+09,1.988,30620,0.6277
2.335e+09,1.99,26410,0.5906
2.43e+09,1.993,30510,0.5302
2.381e+09,1.996,33370,0.7465
2.403e+09,1.954,40170,0.5141
2.154e+09,1.922,35170,0.5446
2.298e+09,1.973,58820,0.6164
2.279e+09,1.986,32730,0.5638
2.655e+09,1.773,33160,0.5177
2.454e+09,1.849,46370,0.5546
2.909e+09,1.737,34160,0.7249
2.799e+09,1.749,30230,0.831
